Risk group,Length of Hospital Stay,Survival estimate,Lower CI,Upper CI,Mortality estimate,Mortality risk %
Low risk,1,1,1,1,0,0
Low risk,2,1,1,1,0,0
Low risk,3,0.998,0.995,1,0.002,0.2
Low risk,4,0.998,0.995,1,0.002,0.2
Low risk,5,0.998,0.995,1,0.002,0.2
Low risk,6,0.994,0.987,1,0.006,0.6
Low risk,7,0.994,0.987,1,0.006,0.6
Low risk,8,0.991,0.982,1,0.009,0.9
Low risk,9,0.988,0.977,0.999,0.012,1.2
Low risk,10,0.985,0.972,0.997,0.015,1.5
Low risk,11,0.977,0.962,0.994,0.023,2.3
Low risk,12,0.974,0.956,0.991,0.026,2.6
Low risk,13,0.97,0.951,0.989,0.03,3
Low risk,14,0.97,0.951,0.989,0.03,3
Low risk,15,0.97,0.951,0.989,0.03,3
Low risk,16,0.97,0.951,0.989,0.03,3
Low risk,17,0.97,0.951,0.989,0.03,3
Low risk,18,0.964,0.941,0.986,0.036,3.6
Low risk,19,0.957,0.932,0.983,0.043,4.3
Low risk,20,0.95,0.922,0.979,0.05,5
Low risk,21,0.95,0.922,0.979,0.05,5
Low risk,22,0.95,0.922,0.979,0.05,5
Low risk,23,0.941,0.908,0.975,0.059,5.9
Low risk,24,0.941,0.908,0.975,0.059,5.9
Low risk,25,0.941,0.908,0.975,0.059,5.9
Low risk,26,0.941,0.908,0.975,0.059,5.9
Low risk,27,0.941,0.908,0.975,0.059,5.9
Low risk,28,0.941,0.908,0.975,0.059,5.9
Low risk,29,0.941,0.908,0.975,0.059,5.9
Low risk,30,0.914,0.867,0.965,0.086,8.6
Low risk,31,0.914,0.867,0.965,0.086,8.6
Low risk,32,0.914,0.867,0.965,0.086,8.6
Low risk,33,0.914,0.867,0.965,0.086,8.6
Low risk,34,0.898,0.843,0.957,0.102,10.2
Low risk,35,0.898,0.843,0.957,0.102,10.2
Low risk,36,0.898,0.843,0.957,0.102,10.2
Low risk,37,0.862,0.792,0.939,0.138,13.8
Low risk,38,0.845,0.768,0.928,0.155,15.5
Low risk,39,0.826,0.745,0.917,0.174,17.4
Low risk,40,0.826,0.745,0.917,0.174,17.4
Low risk,41,0.826,0.745,0.917,0.174,17.4
Low risk,42,0.826,0.745,0.917,0.174,17.4
Low risk,43,0.826,0.745,0.917,0.174,17.4
Low risk,44,0.826,0.745,0.917,0.174,17.4
Low risk,45,0.826,0.745,0.917,0.174,17.4
Low risk,46,0.826,0.745,0.917,0.174,17.4
Low risk,47,0.826,0.745,0.917,0.174,17.4
Low risk,48,0.826,0.745,0.917,0.174,17.4
Low risk,49,0.792,0.693,0.905,0.208,20.8
Low risk,50,0.792,0.693,0.905,0.208,20.8
Low risk,51,0.723,0.602,0.869,0.277,27.7
Low risk,52,0.723,0.602,0.869,0.277,27.7
Low risk,53,0.723,0.602,0.869,0.277,27.7
Low risk,54,0.723,0.602,0.869,0.277,27.7
Low risk,55,0.723,0.602,0.869,0.277,27.7
Low risk,56,0.723,0.602,0.869,0.277,27.7
Low risk,57,0.723,0.602,0.869,0.277,27.7
Low risk,58,0.675,0.537,0.847,0.325,32.5
Low risk,59,0.675,0.537,0.847,0.325,32.5
Low risk,60,0.675,0.537,0.847,0.325,32.5
Low risk,61,0.675,0.537,0.847,0.325,32.5
Low risk,62,0.675,0.537,0.847,0.325,32.5
Low risk,63,0.675,0.537,0.847,0.325,32.5
Low risk,64,0.675,0.537,0.847,0.325,32.5
Low risk,65,0.675,0.537,0.847,0.325,32.5
Low risk,66,0.675,0.537,0.847,0.325,32.5
Low risk,67,0.675,0.537,0.847,0.325,32.5
Low risk,68,0.618,0.465,0.822,0.382,38.2
Low risk,69,0.562,0.4,0.79,0.438,43.8
Low risk,70,0.562,0.4,0.79,0.438,43.8
Low risk,71,0.562,0.4,0.79,0.438,43.8
Low risk,72,0.562,0.4,0.79,0.438,43.8
Low risk,73,0.562,0.4,0.79,0.438,43.8
Low risk,74,0.562,0.4,0.79,0.438,43.8
Low risk,75,0.492,0.32,0.756,0.508,50.8
Low risk,76,0.492,0.32,0.756,0.508,50.8
Low risk,77,0.492,0.32,0.756,0.508,50.8
Low risk,78,0.492,0.32,0.756,0.508,50.8
Low risk,79,0.41,0.234,0.717,0.59,59
Low risk,80,0.41,0.234,0.717,0.59,59
Low risk,81,0.41,0.234,0.717,0.59,59
Low risk,82,0.41,0.234,0.717,0.59,59
Low risk,83,0.41,0.234,0.717,0.59,59
Low risk,84,0.41,0.234,0.717,0.59,59
Low risk,85,0.41,0.234,0.717,0.59,59
Low risk,86,0.41,0.234,0.717,0.59,59
Low risk,87,0.41,0.234,0.717,0.59,59
Low risk,88,0.41,0.234,0.717,0.59,59
Low risk,89,0.41,0.234,0.717,0.59,59
Low risk,90,-,-,-,-,-
Low risk,91,-,-,-,-,-
Low risk,92,-,-,-,-,-
Low risk,93,-,-,-,-,-
Low risk,94,-,-,-,-,-
Low risk,95,-,-,-,-,-
Low risk,96,-,-,-,-,-
Low risk,97,-,-,-,-,-
Low risk,98,-,-,-,-,-
Low risk,99,-,-,-,-,-
Low risk,100,-,-,-,-,-
Intermediate risk,1,0.999,0.999,1,0.001,0.1
Intermediate risk,2,0.999,0.997,1,0.001,0.1
Intermediate risk,3,0.997,0.995,0.999,0.003,0.3
Intermediate risk,4,0.992,0.989,0.996,0.008,0.8
Intermediate risk,5,0.986,0.981,0.991,0.014,1.4
Intermediate risk,6,0.981,0.975,0.988,0.019,1.9
Intermediate risk,7,0.976,0.968,0.983,0.024,2.4
Intermediate risk,8,0.972,0.964,0.98,0.028,2.8
Intermediate risk,9,0.969,0.96,0.978,0.031,3.1
Intermediate risk,10,0.966,0.956,0.976,0.034,3.4
Intermediate risk,11,0.962,0.952,0.973,0.038,3.8
Intermediate risk,12,0.956,0.944,0.968,0.044,4.4
Intermediate risk,13,0.949,0.936,0.962,0.051,5.1
Intermediate risk,14,0.938,0.922,0.953,0.062,6.2
Intermediate risk,15,0.933,0.916,0.949,0.067,6.7
Intermediate risk,16,0.927,0.91,0.945,0.073,7.3
Intermediate risk,17,0.919,0.9,0.938,0.081,8.1
Intermediate risk,18,0.905,0.884,0.927,0.095,9.5
Intermediate risk,19,0.898,0.875,0.921,0.102,10.2
Intermediate risk,20,0.895,0.872,0.919,0.105,10.5
Intermediate risk,21,0.876,0.849,0.903,0.124,12.4
Intermediate risk,22,0.869,0.841,0.898,0.131,13.1
Intermediate risk,23,0.859,0.829,0.89,0.141,14.1
Intermediate risk,24,0.851,0.82,0.884,0.149,14.9
Intermediate risk,25,0.843,0.81,0.877,0.157,15.7
Intermediate risk,26,0.843,0.81,0.877,0.157,15.7
Intermediate risk,27,0.838,0.803,0.873,0.162,16.2
Intermediate risk,28,0.838,0.803,0.873,0.162,16.2
Intermediate risk,29,0.82,0.781,0.86,0.18,18
Intermediate risk,30,0.806,0.764,0.85,0.194,19.4
